817 WILLOUGHBY AVENUE,11206,2
104 HIMROD STREET,11221,1
110 COOPER STREET,11207,1
2022 UNION STREET,11212,30
826 PUTNAM AVENUE,11221,7
80 LENOX ROAD,11226,134
99 ROGERS AVENUE,N/A,1
681 VANDERBILT AVENUE,11238,8
285 LINCOLN PLACE,N/A,1
34 PLAZA ST EAST,11238,27
2077 EAST 12 STREET,11229,8
838 CRESCENT STREET,11208,1
818 EAST 8 STREET,11230,1
548 VAN BUREN STREET,11221,1
5524 3 AVENUE,11220,3
35 WINTHROP STREET,11225,34
1239A PUTNAM AVENUE,11221,1
546 HANCOCK STREET,11233,1
42 EAST 96 STREET,11212,5
1915 EAST 19 STREET,11229,1
1116 BUSHWICK AVENUE,11221,11
1151 NEW YORK AVENUE,11203,13
166 ROSS STREET,11211,1
904 EAST 95 STREET,11236,2
1520 56 STREET,11219,1
1039 WILLMOHR STREET,N/A,2
141 LAFAYETTE AVENUE,11238,1
964 DUMONT AVENUE,11207,5
868 LAFAYETTE AVENUE,11221,2
449 VANDERBILT AVENUE,11238,34
8 PAERDEGAT 3 STREET,11236,6
4615 BEDFORD AVENUE,11235,1
847 CARROLL STREET,11215,1
40 LINCOLN ROAD,11225,1
179 GREEN STREET,11222,1
829 PUTNAM AVENUE,N/A,1
1134 ST MARKS AVENUE,11213,3
1625 EAST 13 STREET,11229,42
1159 BRIGHTON BEACH AVENUE,11235,31
413 ST MARKS AVENUE,11238,14
536 LOGAN STREET,11208,3
59 PIERREPONT STREET,11201,11
1379 EAST 56 STREET,11234,1
75 OCEAN AVENUE,11225,9
150 SMITH STREET,11201,1
149 ROCKAWAY PARKWAY,N/A,1
503 MC DONALD AVENUE,11218,2
207 CRYSTAL STREET,11208,2
569 VERMONT STREET,11207,1
1243 HANCOCK STREET,11221,7
98A ERASMUS STREET,11226,5
892 DE KALB AVENUE,11221,1
547 LINCOLN PLACE,11238,1
2770 OCEAN AVENUE,11229,30
127 RIDGEWOOD AVENUE,11208,1
165 NEW YORK AVENUE,11216,13
258 WITHERS STREET,11211,9
567 NOSTRAND AVENUE,11216,15
714 PENNSYLVANIA AVENUE,11207,1
690 RIVERDALE AVENUE,N/A,2
4920 5 AVENUE,11220,3
10566 FLATLANDS 3 STREET,11236,1
2954 WEST    8 STREET,11224,1
383 KNICKERBOCKER AVENUE,11237,1
286 MAC DOUGAL STREET,11233,3
2089 UNION STREET,N/A,1
1396 BUSHWICK AVENUE,11207,1
1689 STERLING PLACE,N/A,1
1633 WEST   10 STREET,11223,1
5402 AVENUE O,11234,29
757 HART STREET,N/A,1
299 SHEFFIELD AVENUE,11207,1
67 DEVOE STREET,11211,2
480 BUSHWICK AVENUE,11206,4
561 CHAUNCEY STREET,11233,8
1730 EAST   18 STREET,11229,1
233 55 STREET,11220,3
85 HAVEMEYER STREET,N/A,5
1141 38 STREET,11218,1
1020 NEW YORK AVENUE,11203,3
750 GEORGIA AVENUE,11207,1
851 EASTERN PARKWAY,11213,7
2617 NEWKIRK AVENUE,11226,3
341 BROADWAY,11211,5
1356 PACIFIC STREET,11216,17
174 MONROE STREET,11216,2
3611 14 AVENUE,11218,1
331 RIDGEWOOD AVENUE,11208,3
355 MARION STREET,11233,3
